Start_UTC,, Latitude, Longitude, GPS_Alt, qual_flag, amass_aer, AOD0355, AOD0380, AOD0452, AOD0470, AOD0501, AOD0520, AOD0530, AOD0532, AOD0550, AOD0606, AOD0620, AOD0660, AOD0675, AOD0700, AOD0781, AOD0865, AOD1020, AOD1040, AOD1064, AOD1236, AOD1250, AOD1559, AOD1627, AOD1650, UNCAOD0355, UNCAOD0380, UNCAOD0452, UNCAOD0470, UNCAOD0501, UNCAOD0520, UNCAOD0530, UNCAOD0532, UNCAOD0550, UNCAOD0606, UNCAOD0620, UNCAOD0660, UNCAOD0675, UNCAOD0700, UNCAOD0781, UNCAOD0865, UNCAOD1020, UNCAOD1040, UNCAOD1064, UNCAOD1236, UNCAOD1250, UNCAOD1559, UNCAOD1627, UNCAOD1650
32967,9:09:27,-18.7194856,8.6590971,781.3,1,1.309,2.421,2.446,2.513,2.529,2.562,2.576,2.586,2.587,2.601,2.658,2.673,2.708,2.724,2.763,2.827,2.908,2.573,2.608,2.645,2.705,2.766,2.757,2.505,2.233,0.035,0.033,0.026,0.02,0.019,0.02,0.019,0.02,0.018,0.015,0.015,0.017,0.014,0.016,0.011,0.015,0.027,0.039,0.034,0.035,0.038,0.137,0.073,0.315
32968,9:09:28,-18.7185481,8.6582452,784.2,1,1.309,3.149,3.196,3.279,3.298,3.33,3.356,3.372,3.376,3.391,3.453,3.469,3.518,3.526,3.577,3.657,3.729,3.407,4.396,3.609,3.398,4.031,3.407,3.376,2.588,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32969,9:09:29,-18.7169265,8.6565335,790.5,1,1.309,4.614,4.814,4.959,4.992,5.027,5.055,5.063,5.067,5.063,5.168,5.177,5.239,5.207,5.24,5.316,5.382,3.437,4.703,3.984,3.399,4.517,3.537,3.72,2.601,0.654,0.653,0.65,0.648,0.647,0.648,0.648,0.648,0.647,0.647,0.648,0.651,0.649,0.65,0.651,0.662,0.881,0.92,0.977,1.96,3.911,1.852,14.178,1.237
32970,9:09:30,-18.7162257,8.6557938,793.6,1,1.309,4.614,4.814,4.959,4.992,5.027,5.055,5.063,5.067,5.063,5.168,5.177,5.239,5.207,5.24,5.316,5.382,3.437,4.703,3.984,3.399,4.517,3.537,3.72,2.601,0.654,0.653,0.65,0.648,0.647,0.648,0.648,0.648,0.647,0.647,0.648,0.651,0.649,0.65,0.651,0.662,0.881,0.92,0.977,1.96,3.911,1.852,14.178,1.237
32971,9:09:31,-18.7156029,8.6551364,796.3,1,1.309,4.231,4.214,4.191,4.165,4.141,4.128,4.114,4.116,4.102,4.05,4.052,4.028,4.013,4.019,3.961,3.944,3.357,4.265,3.541,3.399,3.799,3.206,3.266,3.102,0.433,0.431,0.434,0.432,0.431,0.432,0.432,0.432,0.432,0.432,0.433,0.437,0.434,0.436,0.437,0.438,0.515,0.526,0.574,0.524,0.513,0.63,0.88,27.018
32972,9:09:32,-18.7149665,8.6544665,799.1,1,1.309,4.231,4.214,4.191,4.165,4.141,4.128,4.114,4.116,4.102,4.05,4.052,4.028,4.013,4.019,3.961,3.944,3.357,4.265,3.541,3.399,3.799,3.206,3.266,3.102,0.433,0.431,0.434,0.432,0.431,0.432,0.432,0.432,0.432,0.432,0.433,0.437,0.434,0.436,0.437,0.438,0.515,0.526,0.574,0.524,0.513,0.63,0.88,27.018
32973,9:09:33,-18.7139185,8.6534185,803.6,1,1.309,0.558,0.558,0.551,0.551,0.548,0.544,0.542,0.543,0.541,0.538,0.536,0.535,0.534,0.549,0.535,0.536,0.841,0.848,0.851,0.884,0.896,0.928,0.926,0.946,0.035,0.033,0.028,0.022,0.022,0.022,0.021,0.022,0.02,0.017,0.018,0.019,0.017,0.018,0.014,0.014,0.023,0.016,0.016,0.012,0.015,0.024,0.016,0.041
32974,9:09:34,-18.7129198,8.6523998,808,1,1.309,0.558,0.558,0.551,0.551,0.548,0.544,0.542,0.543,0.541,0.538,0.536,0.535,0.534,0.549,0.535,0.536,0.841,0.848,0.851,0.884,0.896,0.928,0.926,0.946,0.035,0.033,0.028,0.022,0.022,0.022,0.021,0.022,0.02,0.017,0.018,0.019,0.017,0.018,0.014,0.014,0.023,0.016,0.016,0.012,0.015,0.024,0.016,0.041
32975,9:09:35,-18.7120971,8.6514971,812.5,1,1.308,2.261,2.295,2.352,2.368,2.393,2.411,2.416,2.42,2.436,2.486,2.499,2.541,2.552,2.593,2.652,2.724,2.928,3.104,3.073,3.003,3.184,3.399,3.267,2.43,0.035,0.034,0.027,0.022,0.02,0.021,0.021,0.022,0.02,0.016,0.017,0.019,0.016,0.018,0.014,0.015,0.041,0.071,0.062,0.077,0.076,1.25,0.751,0.702
32976,9:09:36,-18.7112481,8.6506452,816.2,1,1.308,1.205,1.214,1.233,1.239,1.247,1.25,1.255,1.255,1.261,1.281,1.284,1.303,1.31,1.333,1.356,1.39,1.736,1.737,1.76,1.841,1.853,1.963,1.828,1.708,0.034,0.032,0.026,0.02,0.02,0.02,0.02,0.02,0.018,0.014,0.016,0.017,0.013,0.016,0.01,0.011,0.02,0.02,0.019,0.016,0.017,0.046,0.027,0.112
32977,9:09:37,-18.7096265,8.6489335,823.4,1,1.308,2.145,2.17,2.228,2.24,2.267,2.28,2.288,2.293,2.306,2.351,2.362,2.402,2.413,2.446,2.498,2.567,1.74,1.742,1.762,1.854,1.845,1.91,1.849,1.723,0.037,0.034,0.027,0.022,0.021,0.021,0.02,0.021,0.02,0.016,0.017,0.018,0.016,0.017,0.015,0.017,0.02,0.02,0.019,0.015,0.017,0.043,0.035,0.114
32978,9:09:38,-18.7087408,8.6480408,828.2,1,1.308,2.175,2.197,2.246,2.262,2.286,2.297,2.305,2.305,2.32,2.363,2.371,2.404,2.419,2.453,2.5,2.56,2.931,3.232,3.098,3.034,3.306,3.146,2.92,2.462,0.033,0.032,0.025,0.019,0.019,0.019,0.019,0.019,0.017,0.014,0.015,0.016,0.012,0.015,0.01,0.012,0.039,0.074,0.069,0.072,0.092,0.333,0.164,0.804
32979,9:09:39,-18.707918,8.647218,832,1,1.308,2.922,2.97,3.045,3.064,3.1,3.119,3.127,3.128,3.147,3.207,3.218,3.266,3.278,3.323,3.393,3.479,2.763,2.887,2.879,2.863,3.005,3.014,2.559,2.333,0.035,0.032,0.025,0.02,0.019,0.019,0.019,0.019,0.018,0.015,0.015,0.017,0.014,0.016,0.012,0.019,0.032,0.05,0.046,0.042,0.052,0.244,0.089,0.468
32980,9:09:40,-18.7071041,8.6463378,835.6,1,1.308,2.148,2.17,2.223,2.239,2.261,2.274,2.278,2.28,2.3,2.335,2.349,2.376,2.389,2.419,2.465,2.52,3.122,3.502,3.217,3.118,3.394,3.128,2.949,2.758,0.033,0.032,0.025,0.019,0.019,0.019,0.019,0.019,0.016,0.014,0.015,0.016,0.013,0.015,0.011,0.012,0.056,0.106,0.099,0.128,0.123,0.311,0.185,1.698
32981,9:09:41,-18.7062282,8.6454854,839.3,1,1.308,2.919,2.958,3.041,3.063,3.098,3.113,3.124,3.128,3.143,3.204,3.222,3.261,3.275,3.313,3.386,3.472,3.264,3.99,3.389,3.243,3.668,3.819,3.624,3.223,0.035,0.033,0.025,0.019,0.019,0.019,0.019,0.019,0.017,0.014,0.015,0.016,0.014,0.016,0.013,0.019,0.105,0.25,0.158,0.162,0.355,7.485,1.293,4.513
32982,9:09:42,-18.7053784,8.6446628,842.9,1,1.308,2.919,2.958,3.041,3.063,3.098,3.113,3.124,3.128,3.143,3.204,3.222,3.261,3.275,3.313,3.386,3.472,3.264,3.99,3.389,3.243,3.668,3.819,3.624,3.223,0.035,0.033,0.025,0.019,0.019,0.019,0.019,0.019,0.017,0.014,0.015,0.016,0.014,0.016,0.013,0.019,0.105,0.25,0.158,0.162,0.355,7.485,1.293,4.513
32983,9:09:43,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32984,9:09:44,-18.7037934,8.6430191,849.9,1,1.308,4.443,4.468,4.405,4.396,4.365,4.336,4.34,4.337,4.312,4.266,4.258,4.231,4.226,4.22,4.176,4.136,3.439,4.311,3.425,3.31,3.71,3.323,3.625,2.652,0.62,0.616,0.612,0.609,0.608,0.609,0.608,0.608,0.607,0.605,0.607,0.609,0.607,0.608,0.606,0.608,0.622,0.671,0.634,0.728,0.631,0.921,1.421,2.03
32985,9:09:45,-18.7029679,8.6421679,853.6,1,1.308,4.443,4.468,4.405,4.396,4.365,4.336,4.34,4.337,4.312,4.266,4.258,4.231,4.226,4.22,4.176,4.136,3.439,4.311,3.425,3.31,3.71,3.323,3.625,2.652,0.62,0.616,0.612,0.609,0.608,0.609,0.608,0.608,0.607,0.605,0.607,0.609,0.607,0.608,0.606,0.608,0.622,0.671,0.634,0.728,0.631,0.921,1.421,2.03
