Start_UTC,time_UTC, Latitude, Longitude, GPS_Alt, qual_flag, amass_aer, AOD0355, AOD0380, AOD0452, AOD0470, AOD0501, AOD0520, AOD0530, AOD0532, AOD0550, AOD0606, AOD0620, AOD0660, AOD0675, AOD0700, AOD0781, AOD0865, AOD1020, AOD1040, AOD1064, AOD1236, AOD1250, AOD1559, AOD1627, AOD1650, UNCAOD0355, UNCAOD0380, UNCAOD0452, UNCAOD0470, UNCAOD0501, UNCAOD0520, UNCAOD0530, UNCAOD0532, UNCAOD0550, UNCAOD0606, UNCAOD0620, UNCAOD0660, UNCAOD0675, UNCAOD0700, UNCAOD0781, UNCAOD0865, UNCAOD1020, UNCAOD1040, UNCAOD1064, UNCAOD1236, UNCAOD1250, UNCAOD1559, UNCAOD1627, UNCAOD1650
40598,11:16:38,-9.7146925,-0.2799075,1157.3,0,1.045,0.51,0.486,0.407,0.388,0.356,0.335,0.326,0.325,0.309,0.265,0.252,0.227,0.215,0.235,0.162,0.131,0.097,0.092,0.09,0.075,0.074,0.051,0.038,0.046,0.012,0.012,0.012,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.006,0.007,0.006,0.004,0.01,0.008,0.008,0.007,0.007,0.006,0.01,0.02
40599,11:16:39,-9.7132567,-0.2813433,1149.1,0,1.045,0.509,0.485,0.408,0.389,0.358,0.338,0.329,0.328,0.312,0.269,0.256,0.23,0.219,0.238,0.166,0.135,0.526,0.524,0.526,0.533,0.535,0.545,0.549,0.566,0.011,0.012,0.008,0.005,0.006,0.006,0.006,0.005,0.004,0.006,0.005,0.003,0.004,0.004,0.003,0.004,0.007,0.008,0.008,0.008,0.007,0.006,0.011,0.016
40600,11:16:40,-9.7121595,-0.2823804,1143,1,1.045,0.793,0.769,0.698,0.681,0.654,0.635,0.627,0.627,0.612,0.576,0.564,0.545,0.535,0.558,0.495,0.476,0.594,0.591,0.594,0.604,0.602,0.623,0.622,0.636,0.011,0.01,0.008,0.006,0.006,0.005,0.006,0.004,0.004,0.007,0.004,0.004,0.003,0.004,0.003,0.004,0.009,0.008,0.008,0.007,0.01,0.007,0.015,0.02
40601,11:16:41,-9.7113431,-0.2831569,1138.5,1,1.045,2.343,2.332,2.313,2.308,2.303,2.299,2.296,2.299,2.297,2.3,2.298,2.306,2.304,2.346,2.338,2.375,2.713,2.69,2.719,2.836,2.825,2.956,2.677,2.484,0.011,0.009,0.007,0.005,0.005,0.005,0.005,0.004,0.003,0.006,0.004,0.003,0.003,0.004,0.003,0.004,0.02,0.018,0.024,0.027,0.027,0.06,0.082,0.133
40602,11:16:42,-9.710568,-0.2839735,1133.9,1,1.045,2.343,2.332,2.313,2.308,2.303,2.299,2.296,2.299,2.297,2.3,2.298,2.306,2.304,2.346,2.338,2.375,2.713,2.69,2.719,2.836,2.825,2.956,2.677,2.484,0.011,0.009,0.007,0.005,0.005,0.005,0.005,0.004,0.003,0.006,0.004,0.003,0.003,0.004,0.003,0.004,0.02,0.018,0.024,0.027,0.027,0.06,0.082,0.133
40603,11:16:43,-9.7098038,-0.2847633,1129.7,1,1.045,2.35,2.336,2.313,2.311,2.302,2.296,2.296,2.296,2.293,2.293,2.29,2.293,2.297,2.336,2.324,2.363,1.809,1.801,1.812,1.891,1.892,1.978,1.992,1.815,0.022,0.019,0.019,0.014,0.015,0.014,0.013,0.014,0.012,0.012,0.011,0.01,0.01,0.01,0.009,0.01,0.014,0.01,0.011,0.014,0.014,0.027,0.03,0.046
40604,11:16:44,-9.7089841,-0.2855159,1125.8,1,1.045,1.131,1.113,1.051,1.036,1.011,0.995,0.988,0.989,0.976,0.946,0.936,0.923,0.914,0.94,0.89,0.884,0.74,0.737,0.741,0.762,0.762,0.795,0.779,0.802,0.01,0.009,0.007,0.005,0.005,0.005,0.005,0.004,0.003,0.006,0.004,0.003,0.003,0.004,0.003,0.004,0.01,0.009,0.008,0.007,0.01,0.008,0.012,0.018
40605,11:16:45,-9.7081708,-0.2863292,1121.3,1,1.045,2.173,2.167,2.136,2.127,2.116,2.107,2.108,2.108,2.104,2.096,2.091,2.095,2.089,2.13,2.113,2.136,3.18,3.209,3.268,3.315,3.429,3.423,3.001,2.808,0.014,0.014,0.01,0.01,0.009,0.009,0.009,0.011,0.01,0.011,0.007,0.009,0.009,0.008,0.006,0.006,0.031,0.028,0.042,0.048,0.045,0.132,0.134,0.329
40606,11:16:46,-9.7073482,-0.2871518,1116.8,1,1.045,3.045,3.032,3.046,3.045,3.057,3.059,3.06,3.063,3.065,3.092,3.096,3.122,3.122,3.174,3.192,3.258,3.398,3.534,3.544,3.488,3.711,3.521,3.213,2.808,0.016,0.011,0.009,0.008,0.007,0.008,0.007,0.008,0.007,0.009,0.007,0.007,0.008,0.006,0.005,0.004,0.043,0.039,0.053,0.058,0.061,0.132,0.178,0.329
40607,11:16:47,-9.7065255,-0.2879745,1113.1,1,1.045,3.042,3.044,3.043,3.045,3.046,3.047,3.048,3.054,3.051,3.068,3.067,3.088,3.092,3.132,3.133,3.18,3.667,3.962,3.812,3.734,4.142,3.695,3.388,2.935,0.015,0.013,0.01,0.01,0.009,0.008,0.007,0.009,0.008,0.01,0.007,0.006,0.009,0.007,0.007,0.011,0.065,0.061,0.091,0.102,0.104,0.23,0.269,0.509
40608,11:16:48,-9.7057136,-0.288699,1108.6,1,1.045,3.093,3.086,3.047,3.04,3.032,3.023,3.021,3.02,3.013,3.01,3.001,3.003,3.002,3.038,3.011,3.021,3.367,3.511,3.503,3.511,3.686,3.618,3.437,2.977,0.015,0.011,0.011,0.009,0.008,0.009,0.007,0.008,0.007,0.009,0.007,0.008,0.008,0.006,0.007,0.004,0.04,0.039,0.053,0.07,0.058,0.196,0.314,0.587
40609,11:16:49,-9.7048925,-0.2895075,1104.1,1,1.045,3.864,3.86,3.883,3.893,3.904,3.915,3.919,3.92,3.932,3.963,3.966,3.996,4,4.05,4.083,4.143,3.667,3.95,3.833,3.711,3.891,3.611,3.388,2.977,0.021,0.012,0.008,0.007,0.007,0.007,0.007,0.006,0.005,0.009,0.006,0.006,0.006,0.005,0.008,0.008,0.061,0.056,0.081,0.095,0.102,0.176,0.268,0.587
40610,11:16:50,-9.7040784,-0.2903216,1100.2,1,1.045,3.101,3.094,3.083,3.084,3.073,3.072,3.072,3.073,3.066,3.069,3.064,3.075,3.072,3.11,3.09,3.114,3.401,3.535,3.556,3.453,3.702,3.463,3.242,2.698,0.013,0.01,0.007,0.005,0.006,0.006,0.006,0.005,0.004,0.008,0.005,0.005,0.005,0.005,0.006,0.007,0.041,0.041,0.053,0.061,0.058,0.133,0.22,0.229
40611,11:16:51,-9.702719,-0.2916209,1093,1,1.045,3.837,3.852,3.823,3.818,3.812,3.803,3.806,3.807,3.805,3.8,3.796,3.807,3.799,3.842,3.838,3.866,3.267,3.306,3.31,3.337,3.443,3.336,3.026,2.717,0.02,0.012,0.008,0.006,0.006,0.007,0.006,0.005,0.004,0.009,0.005,0.005,0.005,0.005,0.007,0.007,0.035,0.032,0.043,0.048,0.046,0.106,0.124,0.244
40612,11:16:52,-9.7015368,-0.2927632,1086.4,1,1.045,1.976,1.973,1.946,1.941,1.929,1.922,1.922,1.921,1.917,1.911,1.906,1.909,1.905,1.941,1.915,1.93,1.255,1.261,1.268,1.293,1.298,1.359,1.35,1.398,0.015,0.012,0.011,0.01,0.009,0.008,0.009,0.008,0.006,0.009,0.008,0.01,0.005,0.006,0.009,0.008,0.01,0.011,0.013,0.009,0.013,0.03,0.026,0.036
40613,11:16:53,-9.7007194,-0.2935383,1081.9,1,1.045,1.976,1.973,1.946,1.941,1.929,1.922,1.922,1.921,1.917,1.911,1.906,1.909,1.905,1.941,1.915,1.93,1.255,1.261,1.268,1.293,1.298,1.359,1.35,1.398,0.015,0.012,0.011,0.01,0.009,0.008,0.009,0.008,0.006,0.009,0.008,0.01,0.005,0.006,0.009,0.008,0.01,0.011,0.013,0.009,0.013,0.03,0.026,0.036
40614,11:16:54,-9.7003793,-0.2938233,1078.7,1,1.045,1.193,1.18,1.123,1.108,1.087,1.072,1.066,1.066,1.056,1.031,1.019,1.009,0.999,1.029,0.979,0.971,1.76,1.764,1.771,1.832,1.839,1.906,1.924,1.783,0.01,0.009,0.007,0.005,0.005,0.005,0.005,0.004,0.003,0.007,0.004,0.003,0.005,0.004,0.004,0.003,0.011,0.01,0.011,0.012,0.011,0.027,0.028,0.05
42333,11:45:33,-10.8688736,0.8764683,1333.3,1,1.035,5.952,5.913,6.003,6.012,6.024,6.019,6.011,6.018,6.039,6.037,6.022,6.041,6.005,6.063,5.959,5.908,4.747,5.694,4.462,4.035,4.748,4.335,5.529,3.176,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
42334,11:45:34,-10.8695807,0.8771807,1334.5,1,1.035,5.952,5.913,6.003,6.012,6.024,6.019,6.011,6.018,6.039,6.037,6.022,6.041,6.005,6.063,5.959,5.908,4.747,5.694,4.462,4.035,4.748,4.335,5.529,3.176,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
