¥éËdate,start time UTC,end time,start lat,start lon,end lat,end lon,dz (cloud thickness),LWP (CAS),sawtooth or profile?,start altitude,end altitude,SST (1pix),ACAOD
20160906,8:46:39,8:47:24,-19.7722168,9,-19.71142578,8.999694824,220,81.31,st,,,16.99,
20160906,8:48:28,8:49:27,-19.62341309,9.000305176,-19.54937744,8.99987793,277,119.8,st,,,17.07,
20160906,8:51:23,8:52:16,-19.40881348,9.000305176,-19.33898926,9,251,87.27,st,,,16.96,
20160906,8:53:19,8:54:32,-19.25482178,8.999572754,-19.16741943,9.000427246,362,109.83,st,,,16.99,
20160906,8:56:14,8:56:50,-19.0435791,9.000305176,-18.99572754,9.000305176,174,34.45,st,,,16.99,
20160906,9:02:32,9:03:08,-19.0435791,9.000305176,-18.99572754,9.000305176,177,36.12,prf,,,16.99,
20160906,9:36:50,9:38:00,-15.94396973,9,-15.85351563,8.999816895,334,181.28,prf,,,18.37,
20160906,10:11:31,10:12:32,-13.30462646,9.00012207,-13.22528076,9,327,51.85,st,,,20.85,
20160906,10:13:35,10:14:43,-13.14660645,8.999816895,-13.06512451,9.000183105,337,56.91,st,,,20.6,
20160906,10:16:02,10:17:01,-12.96697998,9.00012207,-12.88928223,9,290,33.37,st,,,20.45,
20160906,10:18:03,10:19:08,-12.81079102,9,-12.73461914,9,347,81.33,st,,,20.45,
20160906,10:20:31,10:21:43,-12.63519287,9.000183105,-12.54040527,8.999694824,353,29.96,st,,,20.59,
20160906,11:07:44,11:08:01,-10.01751709,9.000488281,-10.03607178,9.00012207,94,2.72,st,,,22.85,
20160906,11:09:51,11:11:41,-10.15777588,9.00012207,-10.27532959,9,568,92.56,st,,,22.85,
20160906,11:12:50,11:14:12,-10.35150146,8.99987793,-10.44799805,9.000183105,419,56.44,st,,,22.82,
20160906,11:15:28,11:17:01,-10.53338623,8.999572754,-10.63519287,8.999816895,477,71.74,st,,,22.46,
20160906,11:18:29,11:19:16,-10.73242188,9.000183105,-10.78637695,9.000183105,227,49.27,st,,,22.09,
20160906,11:33:15,11:34:20,-11.73461914,9.080993652,-11.80377197,9.105407715,328,57.24,prf,,,21.89,
20160906,12:34:04,12:35:06,-16.32781982,10.70172119,-16.39471436,10.7255249,290,33.39,prf,,,18.88,
20160906,13:15:20,13:16:15,-18.90930176,11.64752197,-18.96337891,11.66802979,286,49.46,st,,,16.17,
20160906,13:16:43,13:17:22,-18.98962402,11.67767334,-19.02709961,11.69110107,213,14.22,st,,,16.07,
20160906,13:19:54,13:20:45,-19.18511963,11.75061035,-19.23547363,11.76928711,245,41.64,st,,,15.66,
20160906,13:21:10,13:21:55,-19.25927734,11.77838135,-19.30291748,11.7946167,238,32.71,st,,,15.62,
20160906,13:24:30,13:25:21,-19.46282959,11.85437012,-19.51379395,11.87347412,262,67.96,st,,,15.62,
20160906,13:25:45,13:26:19,-19.5369873,11.88262939,-19.57092285,11.89538574,176,17.98,st,,,15.88,
20160910,9:09:25,9:10:12,-18.71960449,8.659179688,-18.67749023,8.615722656,209,101.93,prf,806.16,876.3406,16.79,5.263
20160910,10:08:10,10:09:19,-15.44238281,5.417480469,-15.37402344,5.352416992,338,37.76,prf,1343.824839,994.8358346,18.64,2.568
20160910,10:31:38,10:32:09,-14.10681152,4.085571289,-14.07818604,4.05670166,150,45.25,prf,1051.396453,1048.920601,18.97,6.907
20160910,10:39:29,10:40:39,-14.21661377,4.150878906,-14.26800537,4.216674805,328,34.14,prf,1195.6,870.8,18.97,7.396
20160910,10:54:09,10:54:41,-14.39538574,4.455871582,-14.41687012,4.477905273,135,50.17,prf,1030.294811,1033.693331,19.33,0.323
20160910,11:49:53,11:50:43,-14.14569092,4.125610352,-14.10021973,4.078918457,243,59.29,prf,1358.269,1086.668,18.97,7.083
20160910,12:15:52,12:16:18,-14.07788086,4.055480957,-14.09790039,4.076477051,120,36.31,prf,1190.9,1190.9,18.97,6.829
20160910,12:28:26,12:30:41,-14.72241211,4.714111328,-14.82202148,4.816223145,358,43.5,st,1183.9,1068.3,18.97,4.639
20160910,12:34:16,12:36:51,-14.99047852,4.990112305,-15.1151123,5.114929199,410,69.07,st,1270.8,1270.8,18.82,0.263
